Open,Close,Volume
21.4,16.12,3868700
16.1,15.46,5625700
15.96,15.5,6319800
15.12,12.18,3548800
12.18,13.4,2718000
13.54,15.5,2169200
15.7,15.8,3324700
15.66,14.7,1975100
14.5,15.7,2899000
15.74,13.28,2114500
13.28,13.5,1458000
13.5,13.5,1255800
13.5,13.1,5027200
13.18,11.8,2314600
11.8,13.61,2260000
13.61,13.7,1293800
13.7,13.2,3131800
13.2,16.01,4959800
16.01,16.42,3420400
16.41,22.49,2408300
22,21.39,1276500
21.39,18.66,729900
18.66,18,1045500
17.92,18.1,542800
18.1,19.2,1253200
19.19,19.75,607900
19.8,23.99,1107700
23.9,22.9,1348300
22.9,22.8,1211500
22.8,22.29,1034500
22.29,17.89,959200
17.89,17.19,1588800
17.19,15.2,1025000
15.5,15.27,919400
15.27,15.24,1029600
15.31,15.39,570400
15.39,14.5,563900
14.5,15.08,836600
15,14.86,754100
14.87,16.21,619100
16.21,16.49,816500
16.49,17.5,1403600
17.5,16.51,729100
16.51,16.56,1877400
16.5,17,1604700
17.1,17.15,5946900
17.1,19.9,2643200
19.9,21.09,673400
21.09,21.33,2030500
21.35,24.39,2758500
24.39,23.3,2825700
23.3,23,2409600
23,23.68,3044700
23.7,24.29,1632400
24.19,24.27,2529000
24.2,24.83,1672800
24.83,24.97,2007700
25,25.99,1766900
25.99,27.01,2316200
27,28.16,3452200
28.2,31.25,2709500
31.25,32.06,5021700
32.06,29.9,2516400
29.9,29,2430400
29,29.76,2206100
29.76,30.98,1569500
30.98,35.17,2007000
35.17,33.1,2075000
33.2,35.13,2642000
35.13,35.75,2078600
36.5,37.32,1992600
37.41,37.04,1369100
36.8,38.14,2201000
38.16,37.11,3550000
37.11,35.73,2976400
35.73,34.62,5953700
34.6,33,4839200
33,33.72,2796600
34,35.04,2696600
35,35.91,2144300
35.92,38.51,1916100
37.81,43.07,3147400
42.19,45.04,1984100
45.04,54,1585500
54,55.1,3564600
55.1,51.87,3049700
51.01,55.54,2529200
55.49,59.21,1385400
59.21,68.97,1514400
68.97,66.67,1602000
66.71,61.38,1969300
61,64.96,1618500
65.5,61.07,1141400
61.07,60.64,1568800
60,60.25,1661500
60.25,65.05,1350600
65.05,64.7,1770200
64.7,58.18,1721100
58.18,64,1965900
64,67.14,2418200
67.14,67.09,2208400
65.09,67.18,1209700
66.98,64.97,1319500
64.98,68.55,983300
68.5,68.73,1424600
68.56,61.3,2463700
65.11,62.92,1861500
59.76,58.32,1888700
58.32,51.41,1917400
51.41,43.03,2738200
42.5,52.6,2332100
52.62,62,2904000
62,70,2427300
69.9,70,1423900
70,73.7,2350600
73.99,77.35,1913100
77.49,75.17,1742400
74.98,76.31,2897100
76.31,83.7,2508500
82.43,85.2,2028500
85.2,82.3,2367500
82.3,93.24,2075400
95.53,108.78,2573200
110.4,98.4,2373800
96.57,91.89,2347600
88.81,91.94,2364200
90.84,95.36,2311600
93.03,90.56,2369300
92.99,92.3,1468500
92.16,95.2,3786900
94.86,101.65,3455100
103.47,105.43,2784900
103.45,102.43,1895200
103.99,94.21,2884400
94.82,100.18,2195300
99.92,25.4,1929100
25.06,26.92,3554300
26.67,27.13,2371300
27.56,28.24,2030300
28.09,24.17,4431800
24.15,26.39,2464100
26.39,27.45,2154100
27.33,28.2,2866700
28.43,28.5,1967100
28.4,29,2360500
29.08,28.8,2652300
28.91,29.86,1881900
29.84,31.08,1750100
31.08,31.46,3071500
31,32.79,2639000
32.65,33.12,1906300
33.03,28.7,3300400
29.12,32.04,2105800
32.15,30.5,1858200
30.5,30.5,2527700
30.47,33.47,2530600
33.47,32.88,2145000
32.9,34.67,2096600
34.32,39.49,2164300
39.29,39.51,2266900
39.51,37.83,2288800
38.5,39.25,3303900
39.05,43.2,1864400
43.01,38.85,4967100
39,40.69,2645000
40.49,43.83,2216300
43.59,40.8,2579500
40.61,40.2,2978100
40.2,35.53,3167400
35.53,34.75,2339700
34.69,35.24,2477000
35.69,36.14,2908300
36.14,37.2,1719200
37.03,38.07,1981100
38.1,40.61,1740000
40.81,41.16,2078300
41.35,38.94,2555100
38.75,39.39,1639600
39.35,39.11,1304100
39.35,40.7,1539700
40.7,38.14,1785000
38.14,42.22,2279100
41.5,43.26,2872500
43.04,41.2,2418400
41.2,41.68,1791300
41.21,40.66,2175200
40.6,43.23,1829400
43.39,43.08,2006200
42.99,42.81,1778500
42.8,46.87,2125900
46.87,45.88,1990800
46.91,45.95,1321100
45.95,45.95,0
